instance_no,card,size,time
0,1,14,0.022
1,2,19,0.022
1,3,32,0.051
1,3,31,0.067
12,0,0,0.062
120,24,57,0.17
120,181,196,1.367
120,502,397,6.64
121,48,87,0.104
121,786,583,1.671
121,5672,2437,36.7
121,20214,6467,135.378
121,40249,10589,407.803
122,5,20,0.098
122,5,18,0.332
123,40,49,0.104
123,175,160,1.699
123,605,246,13.05
126,10,49,0.186
126,24,82,0.687
126,90,172,1.396
126,317,320,3.96
127,9,36,0.234
127,15,61,0.89
127,75,138,1.444
127,242,242,4.177
127,240,182,9.005
127,0,0,6.802
13,0,0,0.161
135,34,329,0.498
135,558,2362,3.793
135,5893,12240,29.992
135,45043,49676,195.012
135,265737,165869,1139.13
135,1260486,473047,5869.98
135,4945910,1184593,24953.6
135,16399330,2656403,87508.6
135,46731906,5407445,285279
136,2,8,0.007
136,5,17,0.011
137,2,6,0.006
137,5,14,0.011
137,2,8,0.015
137,4,12,0.009
138,0,0,0.016
139,0,0,0.017
140,0,0,0.045
141,0,0,0.044
142,0,0,0.365
143,0,0,0.367
154,2,17,0.156
154,10,52,0.229
154,20,94,0.989
154,33,164,1.822
154,54,297,3.132
154,118,587,5.868
154,237,1086,13.018
154,440,1907,26.473
154,856,3522,49.376
154,1586,6082,408.401
154,2745,9984,196.138
154,4392,14974,497.394
155,2,14,0.15
155,8,31,0.188
155,14,69,0.668
155,35,157,1.753
155,67,311,3.991
155,135,609,7.739
155,267,1149,15.545
155,493,2071,31.393
155,919,3657,61.452
155,1619,6213,282.798
155,2776,10135,208.815
156,0,0,0.265
157,3,17,0.297
157,8,52,0.546
157,20,114,1.411
157,47,277,3.425
157,88,511,8.062
157,177,970,15.92
157,335,1794,32.569
157,705,3476,66.728
168,1,4,0.013
168,2,7,0.01
168,4,13,0.018
168,8,22,0.055
168,3,12,0.091
168,6,15,0.037
168,0,0,0.05
169,1,4,0.015
169,2,8,0.012
169,4,13,0.029
169,8,23,0.053
169,3,12,0.071
169,6,19,0.043
169,0,0,0.054
170,2,8,0.021
170,4,13,0.033
170,6,19,0.113
170,14,44,0.215
170,19,64,0.261
170,32,90,0.337
170,33,101,0.688
170,31,99,0.664
170,32,99,0.449
171,1,5,0.02
171,4,17,0.017
171,6,24,0.063
171,11,42,0.099
171,14,54,0.284
171,16,61,0.362
171,20,65,0.511
171,28,91,0.334
171,26,87,0.563
171,29,92,0.423
171,26,92,0.411
171,27,82,0.385
172,1,6,0.032
172,2,12,0.024
172,2,12,0.047
172,3,18,0.047
172,4,17,0.077
172,11,44,0.092
172,18,66,0.404
172,24,89,0.585
172,39,147,1.266
172,62,222,1.094
172,86,288,1.688
172,115,365,2.795
172,117,379,10.383
173,2,7,0.029
173,1,6,0.045
173,0,0,0.022
174,8,36,0.12
174,38,121,0.588
174,143,424,2.787
174,473,1226,12.439
174,1526,3451,44.798
174,4361,8741,914.906
174,10966,19991,457.964
174,23254,38984,1627.07
174,41070,63524,3194.33
174,55294,80150,5877.98
175,11,41,0.125
175,114,269,0.875
175,877,1438,8.306
175,5429,6821,64.185
175,26394,27023,446.585
175,98479,85848,2366.97
175,263660,199712,11401.5
175,428344,295861,31250.6
176,1,7,0.048
176,4,18,0.044
176,8,45,0.119
176,17,87,0.353
176,29,139,0.801
176,62,246,1.36
176,96,399,3.377
176,181,662,4.878
176,272,941,12.009
177,1,7,0.062
177,1,7,0.05
177,0,0,0.039
178,1,8,0.089
178,4,21,0.067
178,6,25,0.249
178,9,48,0.365
178,18,79,0.545
178,28,138,1.061
178,48,227,1.908
178,88,419,3.298
178,159,672,15.551
178,314,1266,12.756
179,3,16,0.088
179,10,31,0.214
179,13,53,0.637
179,26,110,0.986
179,53,219,2.017
179,109,417,4.17
18,0,0,0.028
19,2,29,0.038
19,5,61,0.17
19,6,79,0.135
19,9,105,0.158
19,4,56,0.415
19,6,64,0.084
19,4,52,0.098
19,6,55,0.076
19,2,20,0.117
2,1,45,0.394
202,1,7,0.014
202,1,7,0.011
202,0,0,0.006
203,0,0,0.009
204,2,10,0.011
204,5,19,0.033
204,5,22,0.024
204,9,33,0.026
204,12,42,0.045
204,20,54,0.084
204,8,36,0.076
204,13,41,0.041
205,2,11,0.012
205,3,14,0.014
205,2,9,0.016
205,1,6,0.012
205,0,0,0.004
206,0,0,0.013
24,3,71,0.291
24,4,96,0.448
25,2,51,0.314
25,3,68,0.272
25,4,80,0.413
25,2,58,0.452
25,0,0,0.204
251,2,18,0.018
251,1,9,0.021
251,1,9,0.009
251,2,17,0.01
251,2,15,0.019
251,2,17,0.013
251,2,14,0.018
251,1,9,0.01
251,1,9,0.007
251,1,9,0.029
251,1,9,0.008
251,1,9,0.008
251,1,9,0.014
251,1,9,0.007
251,1,9,0.008
251,2,17,0.014
251,2,17,0.015
251,2,17,0.021
251,2,17,0.021
251,1,9,0.017
251,1,9,0.008
252,3,42,0.029
252,3,43,0.072
252,2,29,0.702
252,3,33,0.057
252,4,36,0.055
252,3,30,0.067
252,2,25,0.041
252,1,15,0.039
252,1,15,0.016
252,1,15,0.016
252,1,15,0.032
252,1,15,0.017
252,1,15,0.018
252,1,15,0.032
252,1,15,0.018
252,2,24,0.017
252,2,23,0.035
252,4,35,0.029
252,8,53,0.045
252,11,67,0.073
252,13,88,0.149
252,13,95,0.146
252,10,81,0.159
252,6,58,0.092
252,4,41,0.112
252,2,24,0.043
252,1,15,0.023
252,1,15,0.04
252,1,15,0.015
252,1,15,0.014
252,1,15,0.014
252,2,22,0.016
252,2,21,0.026
252,3,31,0.024
252,5,50,0.036
252,6,61,0.058
252,7,69,0.106
252,7,76,0.079
252,5,63,0.128
252,3,36,0.068
252,2,25,0.039
252,1,15,0.031
252,1,15,0.016
252,1,15,0.017
252,1,15,0.018
252,1,15,0.025
252,1,15,0.018
252,2,24,0.019
252,2,22,0.032
252,4,41,0.03
252,8,71,0.056
252,11,91,0.097
252,13,114,0.124
252,13,120,0.196
252,10,101,0.178
252,6,70,0.186
252,4,46,0.134
252,2,28,0.049
252,1,15,0.029
252,1,15,0.03
252,1,15,0.015
252,1,15,0.014
252,1,15,0.016
252,2,24,0.016
252,2,22,0.029
252,3,30,0.083
252,4,39,0.036
252,3,34,0.044
252,2,30,0.037
253,2,10,0.011
253,1,6,0.01
253,1,6,0.005
253,1,6,0.006
253,1,6,0.005
253,1,6,0.005
253,1,6,0.007
253,1,6,0.007
253,1,6,0.007
253,1,6,0.008
253,1,6,0.006
253,1,6,0.004
254,3,22,0.028
254,3,22,0.026
254,2,18,0.024
254,2,19,0.03
254,1,10,0.036
254,1,10,0.009
254,1,10,0.009
254,1,10,0.009
254,1,10,0.007
254,2,15,0.015
254,3,20,0.015
254,4,26,0.02
254,5,29,0.025
254,4,25,0.03
254,3,19,0.024
254,2,16,0.035
254,1,10,0.014
254,1,10,0.009
254,2,16,0.03
254,3,26,0.016
254,4,33,0.029
254,5,39,0.03
254,4,32,0.045
254,3,24,0.04
254,2,19,0.035
254,1,10,0.014
254,1,10,0.007
254,2,16,0.007
254,2,12,0.013
254,2,14,0.012
255,0,0,0.005
256,2,5,0.006
256,2,5,0.005
256,0,0,0.004
257,5,74,0.163
257,10,120,0.358
257,12,151,0.527
257,13,163,0.626
257,14,177,0.709
257,12,168,0.79
257,8,121,0.733
257,5,82,0.474
257,4,63,0.295
257,4,57,0.212
257,4,61,0.187
257,4,63,0.218
257,5,75,0.241
257,7,89,0.296
257,10,122,0.343
257,18,192,0.558
257,30,261,0.969
257,38,297,1.321
257,37,284,1.564
257,28,232,1.316
257,16,156,1.014
257,7,79,0.614
257,3,55,0.385
257,2,40,0.185
257,2,39,0.152
257,2,44,0.147
257,3,49,0.167
257,4,66,0.196
257,5,79,0.309
257,8,112,0.371
257,11,152,0.571
257,13,182,0.82
257,13,185,0.995
257,10,156,1.334
257,6,98,1.772
257,3,60,0.469
