instance_no,result,iv_time_max,iv_time_ave,iv_time_sum,iv_memory_max,iv_memory_ave,ie_time_max,ie_time_ave,ie_time_sum,ie_memory_max,ie_mamory_ave,IS_time,IS_size,zdd_size_max,zdd_size_ave,zdd_is_num_max,zdd_is_num_ave,reconf_time_max,reconf_time_ave,Reconf_time,reconf_step,z_sol_num,z_sol_zdd
0,solved,1.3113021850585938e-05,8.249282836914063e-06,0.0002474784851074219,232437563392,232437563392.0,0.00038933753967285156,4.876852035522461e-05,0.004876852035522461,232438079488,232437718220.8,0.005124330520629883,83039,14,14.0,1,1.0,0.025,0.025,0.025,1,83039,1199
12,solved,2.2649765014648438e-05,1.2649939610407902e-05,0.0006577968597412109,232443064320,232442741996.30768,0.03431439399719238,0.0024518693857525117,0.4928257465362549,232492597248,232456423760.2388,0.4934835433959961,209515460,0,0.0,0,0.0,0.105,0.105,0.105,1,209515460,81460
120,solved,0.0006787776947021484,3.669038414955139e-05,0.004696369171142578,232416829440,232416039168.0,0.6047804355621338,0.011239858853876294,36.14738607406616,234002812928,233069420309.65173,36.152082443237305,2500822,342,191.66666666666666,502,235.66666666666666,5.978,2.512,7.536,3,2500822,70336
122,solved,0.0006945133209228516,3.697536885738373e-05,0.004732847213745117,232420192256,232418932256.0,0.147705078125,0.0006823176923005477,3.546687364578247,232799260672,232549357077.0789,3.551420211791992,14030,19,17.5,5,5.0,9.516,4.8095,9.619,2,14030,2664
124,unsolved,0.0006556510925292969,3.7457793951034546e-05,0.004794597625732422,232417619968,232416803936.0,11.49903154373169,0.6538837073380466,504.7982220649719,258002149376,236825894121.45078,504.80301666259766,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
126,solved,0.0006589889526367188,3.668293356895447e-05,0.004695415496826172,232423968768,232423149664.0,4.781600475311279,0.1276586318659207,269.74268913269043,245254356992,237112908693.86844,269.74738454818726,245547105,435,196.5,317,110.25,4.207,1.6372499999999999,6.5489999999999995,4,245547105,740839
128,unsolved,0.00033783912658691406,2.5610923767089844e-05,0.0025610923767089844,232422731776,232422313738.24,67.83613395690918,3.714493042280694,442.0246720314026,258787360768,235529784930.95798,442.0272331237793,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
132,unsolved,0.00037384033203125,2.4700706655328926e-05,0.0021736621856689453,232426377216,232425711895.27274,211.0790798664093,10.264904415429529,1375.4971916675568,332620525568,241217193250.38806,1375.4993653297424,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
136,solved,6.198883056640625e-06,5.115162242542613e-06,5.626678466796875e-05,232426033152,232426033152.0,1.621246337890625e-05,6.592273712158203e-06,0.00013184547424316406,232426033152,232426033152.0,0.0001881122589111328,103,13,9.5,5,3.5,0.009,0.009,0.018,2,103,34
138,solved,1.1205673217773438e-05,6.717184315557065e-06,0.0001544952392578125,232426213376,232426213376.0,6.031990051269531e-05,1.5628169959699604e-05,0.0011096000671386719,232426213376,232426213376.0,0.0012640953063964844,7407,0,0.0,0,0.0,0.015,0.015,0.015,1,7407,385
14,unsolved,0.0011434555053710938,5.807629171407448e-05,0.012312173843383789,232446337024,232444304016.90567,3.657804250717163,0.1801876121798888,81.62498831748962,238668419072,233276490469.4393,81.63730049133301,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
140,solved,2.09808349609375e-05,1.1322346139461436e-05,0.0005321502685546875,232426508288,232426508288.0,0.002697467803955078,0.000152430291903221,0.035973548889160156,232432328704,232428222776.40677,0.036505699157714844,39473983,0,0.0,0,0.0,0.219,0.219,0.219,1,39473983,7042
143,solved,0.00029754638671875,2.4825648257606907e-05,0.0023584365844726562,232426893312,232426453272.25262,0.6542303562164307,0.022587533344496164,17.053587675094604,233214726144,232564399628.88477,17.055946111679077,1079054920080607,0,0.0,0,0.0,0.377,0.377,0.377,1,549755813887,1441245
145,unsolved,0.001405477523803711,5.5207007842538246e-05,0.010544538497924805,232431022080,232428860421.36127,16.190804481506348,0.3058121211911574,483.794775724411,257546637312,234402647952.6675,483.80532026290894,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
154,solved,0.00033783912658691406,2.5393962860107423e-05,0.002539396286010742,232432545792,232432127754.24,5.993873357772827,0.1543613355986926,226.91116333007812,244824502272,236207422554.55783,226.91370272636414,7535369,14746,3167.8333333333335,4392,874.4166666666666,364.262,66.86433333333333,802.3720000000001,12,7535369,728146
156,unsolved,0.0006613731384277344,3.601302785321701e-05,0.004357576370239258,232432939008,232432081928.4628,23.885459423065186,0.9310874754591563,1577.2621834278107,284622741504,243972443241.18063,1577.266541004181,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
158,unsolved,0.0006437301635742188,3.894666830698649e-05,0.005608320236206055,232435286016,232434583552.0,42.95711374282837,0.8696255627370113,1247.0430569648743,329918869504,246156790716.8759,1247.0486652851105,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
162,unsolved,0.001176595687866211,5.539339415881099e-05,0.010857105255126953,232437202944,232435538944.0,25.075640201568604,0.6319513752520279,579.4994111061096,282883072000,237778354220.6674,579.5102682113647,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
164,unsolved,0.00122833251953125,6.119410196940105e-05,0.013768672943115234,232440688640,232439117414.4,37.39318609237671,1.2467745922269067,1686.8860232830048,336679030784,249053127010.19955,1686.8997919559479,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
167,unsolved,0.002313375473022461,7.696449756622314e-05,0.019702911376953125,232441200640,232436858848.0,44.2622594833374,1.0030680003976749,1310.0068085193634,333265494016,242455100179.2098,1310.0265114307404,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
168,solved,1.1920928955078125e-05,7.505416870117188e-06,0.0001876354217529297,232440344576,232440344576.0,4.100799560546875e-05,1.5938282012939452e-05,0.0025501251220703125,232440885248,232440625049.6,0.002737760543823242,462,23,11.285714285714286,8,3.4285714285714284,0.084,0.038571428571428576,0.27,7,462,205
170,solved,1.5735626220703125e-05,9.424156612820096e-06,0.00033926963806152344,232440946688,232440946688.0,0.001180410385131836,5.906203697467672e-05,0.01712799072265625,232443527168,232441968202.15173,0.017467260360717773,2635,105,62.44444444444444,33,19.22222222222222,0.763,0.3262222222222222,2.936,9,2635,858
172,solved,2.3126602172851562e-05,1.2222601442920918e-05,0.000598907470703125,232440123392,232440123392.0,0.004949808120727539,0.0002714901411232828,0.12922930717468262,232453263360,232445650049.07562,0.12982821464538574,16870,370,129.92307692307693,117,37.23076923076923,10.032,1.4934615384615384,19.415,13,16870,4212
174,solved,0.00033283233642578125,2.4750828742980957e-05,0.002376079559326172,232441380864,232440945408.0,2.667273998260498,0.08183737630732575,111.95353078842163,238598209536,234520787476.95908,111.95590686798096,4558093,78116,21406.8,55294,13713.3,6763.25,1299.9001,12999.001,10,4558093,490500
176,solved,2.6941299438476562e-05,1.5027821063995361e-05,0.0009617805480957031,232447877120,232447877120.0,0.04646778106689453,0.002008874337751787,1.4624605178833008,232553730048,232493947560.7912,1.4634222984313965,118969,879,261.77777777777777,272,74.44444444444444,11.214,2.6964444444444444,24.268,9,118969,21047
178,solved,4.1961669921875e-05,1.8169850478937596e-05,0.0014717578887939453,232448196608,232448196608.0,0.16660070419311523,0.009260023407863848,9.778584718704224,232839942144,232554800930.9091,9.780056476593018,915442,1229,288.2,314,67.5,15.277,3.4143,34.143,10,915442,121445
18,solved,1.5735626220703125e-05,9.742943016258446e-06,0.0003604888916015625,232444997632,232444997632.0,0.0024976730346679688,0.0004056195418039958,0.029204607009887695,232448180224,232445769386.66666,0.029565095901489258,6031508,0,0.0,0,0.0,0.042,0.042,0.042,1,6031508,16130
202,solved,1.33514404296875e-05,6.9588422775268555e-06,0.00011134147644042969,232446087168,232446087168.0,2.002716064453125e-05,1.0659297307332357e-05,0.00025582313537597656,232446087168,232446087168.0,0.00036716461181640625,1234,7,4.666666666666667,1,0.6666666666666666,0.011,0.008666666666666666,0.026,3,1234,123
207,unsolved,0.0003342628479003906,2.5861263275146484e-05,0.0025861263275146484,232447012864,232446594826.24,30.555313110351562,1.5077242334683736,180.92690801620483,244954873856,233367425877.33334,180.92949414253235,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
251,solved,9.5367431640625e-06,6.494067964099702e-06,0.00013637542724609375,232376479744,232376479744.0,7.128715515136719e-05,2.3884432656424387e-05,0.0006687641143798828,232376479744,232376479744.0,0.0008051395416259766,12351,18,12.047619047619047,2,1.4285714285714286,0.026,0.012380952380952385,0.26000000000000006,21,12351,466
252,solved,1.5020370483398438e-05,9.344683753119574e-06,0.0003364086151123047,232376471552,232376471552.0,0.0030586719512939453,0.0003804786532532935,0.01940441131591797,232379740160,232377111331.13727,0.019740819931030273,7636103,100,35.05797101449275,13,3.652173913043478,2.805,0.10756521739130434,7.422,69,7636103,18522
253,solved,7.62939453125e-06,5.602836608886719e-06,7.843971252441406e-05,232376569856,232376569856.0,1.7404556274414062e-05,9.920861985948351e-06,0.0001785755157470703,232376569856,232376569856.0,0.0002570152282714844,574,11,6.416666666666667,2,1.0833333333333333,0.024,0.008499999999999999,0.102,12,574,89
254,solved,1.1682510375976562e-05,7.241964340209961e-06,0.00017380714416503906,232377044992,232377044992.0,0.00015425682067871094,4.061063130696615e-05,0.0013401508331298828,232377044992,232377044992.0,0.0015139579772949219,42630,39,19.233333333333334,5,2.3666666666666667,0.305,0.03463333333333333,1.039,30,42630,1648
255,solved,5.245208740234375e-06,4.569689432779948e-06,2.7418136596679688e-05,232376569856,232376569856.0,8.58306884765625e-06,5.139244927300348e-06,4.6253204345703125e-05,232376569856,232376569856.0,7.367134094238281e-05,15,0,0.0,0,0.0,0.005,0.005,0.005,1,15,9
256,solved,1.0013580322265625e-05,5.585806710379464e-06,3.910064697265625e-05,232376532992,232376532992.0,1.1920928955078125e-05,6.130763462611607e-06,4.291534423828125e-05,232376532992,232376532992.0,8.20159912109375e-05,31,6,3.3333333333333335,2,1.3333333333333333,0.006,0.004666666666666666,0.013999999999999999,3,31,8
257,solved,3.600120544433594e-05,1.537427306175232e-05,0.0009839534759521484,232376442880,232376442880.0,2.1531949043273926,0.15137637790880706,14.38075590133667,233221697536,232474058105.26315,14.381739854812622,1113597391920,2367,409.2284122562674,285,39.860724233983284,571.493,4.053607242339833,1455.2450000000001,359,549755813887,5827698
258,solved,3.981590270996094e-05,1.7899501172802117e-05,0.0014140605926513672,232378228736,232378228736.0,22.457681894302368,1.7148043907294839,202.3469181060791,245288480768,233524806395.661,202.34833216667175,687998789526551,14272,1529.5096277278562,1386,147.14120667522465,1183.32,15.27263671373557,11897.38400000001,779,549755813887,62733266
263,unsolved,0.000606536865234375,4.0127085400866226e-05,0.0061795711517333984,232381919232,232381262382.54544,0.04158830642700195,0.004734093143093971,0.29351377487182617,232431669248,232390869652.64517,0.29969334602355957,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
264,unsolved,0.0012416839599609375,4.9667245537571656e-05,0.00839376449584961,232387764224,232385672355.59763,0.007714986801147461,0.0008067577443224319,0.0379176139831543,232397123584,232389076861.27658,0.046311378479003906,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
265,unsolved,0.0012471675872802734,5.27358573416005e-05,0.009703397750854492,232464338944,232462417608.34784,0.0025305747985839844,0.0002563968300819397,0.00820469856262207,232467496960,232464600832.0,0.017908096313476562,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
266,unsolved,0.001173257827758789,5.5431720599457246e-05,0.011030912399291992,232467664896,232465582357.86935,0.0001289844512939453,8.159525254193475e-05,0.0013871192932128906,232467664896,232467664896.0,0.012418031692504883,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
267,unsolved,0.0012586116790771484,6.327005190269969e-05,0.013539791107177734,232471785472,232470077612.2617,0.000156402587890625,0.000156402587890625,0.000156402587890625,232471785472,232471785472.0,0.01369619369506836,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
268,unsolved,0.0012500286102294922,6.2986656471535e-05,0.013605117797851562,232475766784,232474093378.37036,0,-0.0,0,0,-0.0,0.013605117797851562,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
272,unsolved,0.0013549327850341797,6.211635678313499e-05,0.013355016708374023,232480260096,232478337338.34418,0,-0.0,0,0,-0.0,0.013355016708374023,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
274,solved,2.7894973754882812e-05,1.537427306175232e-05,0.0009839534759521484,232481304576,232481304576.0,0.08134126663208008,0.002461735691343035,1.7921435832977295,232682369024,232533211501.7143,1.7931275367736816,118969,1202,393.0,404,123.44444444444444,20.225,6.131333333333333,55.181999999999995,9,118969,21944
278,solved,0.0003750324249267578,2.704143524169922e-05,0.002704143524169922,232485052416,232484438261.76,3.045574903488159,0.12011041673673253,176.56231260299683,239059480576,235195156758.63947,176.565016746521,7535369,11235,2555.818181818182,3105,643.0909090909091,236.161,46.35636363636364,509.92,11,7535369,725871
281,solved,0.0003769397735595703,2.7015209197998047e-05,0.0027015209197998047,232482639872,232482221834.24,3.29111647605896,0.09961791638614369,146.43833708763123,238742679552,234368069891.1347,146.44103860855103,7535369,25814,5245.8,8465,1541.0,1119.68,163.75213333333335,2456.282,15,7535369,756240
30,solved,2.4080276489257812e-05,1.3155596596854074e-05,0.0007367134094238281,232451915776,232448106276.57144,0.23487138748168945,0.024054865403608842,2.6460351943969727,232654254080,232480549534.25455,2.6467719078063965,16999974125,49,48.0,2,2.0,0.164,0.14525000000000002,0.5810000000000001,4,16999974125,660064
32,unsolved,0.002229928970336914,8.267609674311193e-05,0.023231983184814453,232455000064,232450936802.847,0.4994685649871826,0.02783918537591633,4.231556177139282,232850563072,232502878396.6316,4.254788160324097,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
322,solved,7.3909759521484375e-06,5.465287428635817e-06,7.104873657226562e-05,232489730048,232489730048.0,1.8835067749023438e-05,5.382480043353456e-06,0.0003552436828613281,232489730048,232489730048.0,0.00042629241943359375,26,2,2.0,1,1.0,0.009,0.004000000000000001,0.04400000000000001,11,26,22
325,solved,2.3365020751953125e-05,1.2920452998234676e-05,0.0006718635559082031,232489066496,232489066496.0,0.0026302337646484375,0.0001488271749244546,0.04732704162597656,232495259648,232490501177.96225,0.047998905181884766,210289,301,79.49090909090908,75,17.957575757575757,7.105,0.4185696969696971,69.06400000000002,165,210289,5689
326,solved,3.62396240234375e-05,1.5508211576021634e-05,0.0010080337524414062,232489963520,232489963520.0,0.020024776458740234,0.0007874514926132278,0.3165555000305176,232537554944,232495863767.24377,0.317563533782959,4216790,1122,213.9384164222874,313,56.25806451612903,36.886,1.8537067448680327,632.1139999999991,341,4216790,50736
328,solved,0.0003459453582763672,2.3781598269284426e-05,0.002164125442504883,232491130880,232490671497.84616,0.45426154136657715,0.021232885645146957,12.102744817733765,233272242176,232577215426.9193,12.10490894317627,1695558599,14170,1838.5139584824624,5600,590.2605583392985,1258.26,31.471239799570508,43965.322,1397,1695558599,1177808
329,solved,0.000316619873046875,2.6019719930795523e-05,0.0027060508728027344,232487751680,232487349720.6154,6.005778074264526,0.253109492657746,165.5336081981659,239261073408,233272200245.23547,165.5363142490387,33999945346,72345,7195.040285204991,24003,1943.50623885918,9856.39,142.83184420677387,400643.32300000073,2805,33999945346,15592301
330,unsolved,0.0005877017974853516,3.365777496598725e-05,0.003937959671020508,232496705536,232495840964.92307,1.6199166774749756,0.04833987913680209,26.055194854736328,234087342080,232670833555.71057,26.05913281440735,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
333,unsolved,0.0006704330444335938,4.186232884724935e-05,0.0065305233001708984,232495775744,232495127315.69232,93.39555168151855,2.351495336868265,1723.6460819244385,332890701824,240286502336.43655,1723.6526124477386,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
334,unsolved,0.001295328140258789,5.086498147637181e-05,0.008596181869506836,232503816192,232501870907.07693,60.25771117210388,2.0650551170933973,1495.0999047756195,333116391424,241644888601.45856,1495.108500957489,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
339,unsolved,0.002291440963745117,7.414206480368589e-05,0.0173492431640625,232502374400,232498085730.46155,11.805601119995117,0.39503277495781086,254.4011070728302,245678800896,234088848956.42236,254.41845631599426,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
340,unsolved,0.0023567676544189453,7.696866023878336e-05,0.019011259078979492,232506859520,232502354997.89474,26.130196809768677,0.8590343402097218,548.0639090538025,259355078656,235422991851.1348,548.0829203128815,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
342,unsolved,0.0022306442260742188,8.089813120635875e-05,0.022085189819335938,232510119936,232506243544.6154,8.520739793777466,0.22785008879732493,137.8493037223816,244757938176,233671973192.35703,137.87138891220093,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
343,unsolved,0.0021677017211914062,8.024285723279406e-05,0.0229494571685791,232511942656,232508247877.81818,10.037763595581055,0.2885620814782602,171.40587639808655,245137895424,233591731727.51514,171.42882585525513,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
344,unsolved,0.002328157424926758,8.566004775439617e-05,0.025612354278564453,232517279744,232513627659.98663,7.343253135681152,0.2454488149342132,141.62396621704102,238955847680,233171796841.1508,141.64957857131958,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
352,solved,2.1219253540039062e-05,1.0907649993896484e-05,0.0004799365997314453,232518017024,232518017024.0,0.018318891525268555,0.0013764396546378968,0.0867156982421875,232529928192,232520371313.77777,0.08719563484191895,234866524,459,191.23333333333332,55,20.6,9.449,0.6167666666666665,55.508999999999986,90,234866524,119352
353,solved,2.3603439331054688e-05,1.2834866841634115e-05,0.0006930828094482422,232517451776,232517451776.0,0.1096799373626709,0.006656487782796224,0.5192060470581055,232566939648,232525219262.35898,0.5198991298675537,17433157278,1623,647.9924242424242,183,70.65151515151516,41.411,3.445992424242425,454.8710000000001,132,17433157278,558338
354,solved,2.6702880859375e-05,1.4707446098327637e-05,0.0009412765502929688,232514801664,232514801664.0,4.903167247772217,0.2592241482068134,24.107845783233643,234146463744,232655733088.3441,24.108787059783936,1293990170762,6127,2479.4285714285716,694,256.93956043956047,154.405,19.064214285714286,3469.687,182,549755813887,13205150
355,solved,2.9087066650390625e-05,1.6634528701369828e-05,0.0012309551239013672,232518905856,232518905856.0,3.251276969909668,0.33943681363706235,36.659175872802734,235825418240,232922784237.03705,36.660406827926636,96047464911400,17707,6334.525,2642,975.5208333333334,2420.59,56.254412500000036,13501.059000000008,240,549755813887,5638814
36,unsolved,0.00035834312438964844,2.9931988632469847e-05,0.0034122467041015625,232446275584,232445745906.5263,5.161292314529419,0.31306772551885464,102.68621397018433,238772211712,233120691512.19513,102.68962621688843,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
362,unsolved,0.0007421970367431641,4.0132138464185926e-05,0.0057790279388427734,232522321920,232521321984.0,0.5108985900878906,0.026311694759212127,1.9207537174224854,232726724608,232545925989.69864,1.9265327453613281,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
366,unsolved,0.0012786388397216797,5.360530770343283e-05,0.00986337661743164,232519712768,232517791432.34784,0.0034029483795166016,0.00037530064582824707,0.012009620666503906,232522809344,232520341760.0,0.021872997283935547,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
368,unsolved,0.0013778209686279297,5.9652562234915936e-05,0.012169122695922852,232583553024,232581832804.39215,0.00016355514526367188,0.00010113282637162642,0.0011124610900878906,232583553024,232583553024.0,0.013281583786010742,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
4,unsolved,0.0024063587188720703,8.190185465711228e-05,0.023096323013305664,232443867136,232439690377.9858,9.613288164138794,0.285029794871445,234.57952117919922,245399166976,233732196269.88092,234.60261750221252,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
42,solved,3.337860107421875e-05,1.856043368955202e-05,0.0014662742614746094,232448393216,232448393216.0,25.987422227859497,2.4757112188216968,386.2109501361847,257368256512,235391584649.84616,386.21241641044617,245227225296269,301,162.85714285714286,13,6.428571428571429,1.645,0.8668571428571429,12.136000000000001,14,549755813887,66492584
46,unsolved,0.0006384849548339844,4.232858682607676e-05,0.00651860237121582,232450850816,232450150586.18182,5.03527045249939,0.20271646851861932,58.17962646484375,235682643968,232966186843.87457,58.186145067214966,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
56,unsolved,0.0006833076477050781,3.5564422607421877e-05,0.004445552825927734,232400551936,232399742697.472,58.34738087654114,2.3430939632523398,747.4469742774963,282118905856,235664667060.56427,747.4514198303223,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
58,solved,0.0006463527679443359,3.690719604492188e-05,0.004613399505615234,232401657856,232400848617.472,1.2747790813446045,0.019347499495942316,75.28112053871155,235700109312,233843378598.6533,75.28573393821716,537509,0,0.0,0,0.0,0.16,0.16,0.16,1,537509,109222
62,unsolved,0.002604961395263672,7.70730972290039e-05,0.019268274307250977,232406462464,232402428313.6,1.5579016208648682,0.08530712943788263,34.890615940093994,235626831872,232820395741.5746,34.909884214401245,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
64,unsolved,0.0024204254150390625,7.506275177001953e-05,0.018765687942504883,232471638016,232467676807.168,38.58110785484314,0.2319714052468414,1557.9199576377869,332515725312,250073484481.33414,1557.9387233257294,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
66,solved,0.002156972885131836,7.318305969238281e-05,0.018295764923095703,232416653312,232412550692.864,2.29308819770813,0.0027588993673081526,76.96501564979553,238649077760,235158055282.0745,76.98331141471863,6556,13,9.166666666666666,4,2.8333333333333335,1.043,0.7176666666666667,4.306,6,6556,4362
8,unsolved,0.0011761188507080078,5.6440287297314934e-05,0.011400938034057617,232442228736,232440105588.59406,10.05251169204712,0.4879329535552581,224.937091588974,245494693888,233833503124.26898,224.94849252700806,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
80,unsolved,0.0006184577941894531,3.7922375444052875e-05,0.005233287811279297,232410021888,232409288882.08694,24.749836444854736,3.0633959929793164,1510.254224538803,283788394496,246405091884.6572,1510.2594578266144,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
88,solved,0.0003485679626464844,2.3556851792609553e-05,0.0020494461059570312,232410959872,232410479368.82758,1.8129124641418457,0.1663248286458659,67.52788043022156,235635527680,233416887280.867,67.52992987632751,1233653689761797,20410,8063.833333333333,20722,6160.166666666667,367.911,95.3935,572.361,6,549755813887,1599314
90,unsolved,0.0006084442138671875,3.3921003341674806e-05,0.0040705204010009766,232411439104,232410596147.2,10.719903945922852,0.7072778748877254,229.15803146362305,245065310208,233928936523.85184,229.16210198402405,0,0,-0.0,0,-0.0,0,-0.0,0,-1,0,0
92,solved,4.100799560546875e-05,1.704692840576172e-05,0.0012614727020263672,232414175232,232414175232.0,0.0804440975189209,0.005233964254689771,1.575423240661621,232602800128,232442028916.51828,1.5766847133636475,1537558481760,5912,3342.1428571428573,72262,24695.571428571428,546.978,148.5552857142857,1039.887,7,549755813887,147122
