rsol,234866524,56586
r,5,54,0.098
r,10,83,0.133
r,11,92,3.888
r,9,80,0.161
r,7,66,0.424
r,5,56,0.147
r,4,32,0.125
r,4,44,0.054
r,4,55,0.071
r,5,60,0.175
r,8,69,0.105
r,11,77,0.159
r,13,102,0.166
r,13,121,0.213
r,10,96,0.308
r,6,73,0.193
r,3,43,0.158
r,2,26,0.067
r,3,38,0.041
r,5,56,0.06
r,8,75,0.089
r,13,120,0.135
r,17,149,0.214
r,19,167,0.324
r,19,169,0.364
r,17,171,0.344
r,13,144,0.33
r,11,134,0.623
r,11,118,0.242
r,12,98,0.209
r,13,102,0.309
r,13,108,0.198
r,11,97,0.208
r,9,96,0.45
r,9,102,0.203
r,11,126,0.193
r,16,177,0.221
r,23,240,0.315
r,30,299,0.483
r,36,346,0.903
r,40,377,0.706
r,39,359,0.719
r,35,314,0.775
r,31,304,0.742
r,28,272,1.048
r,27,245,0.532
r,30,244,0.449
r,34,278,0.454
r,36,296,0.746
r,36,292,0.538
r,34,279,0.531
r,30,278,0.75
r,27,261,0.98
r,29,274,0.702
r,35,306,0.733
r,43,340,0.801
r,51,381,0.647
r,55,426,0.725
r,51,413,1.315
r,43,376,0.795
r,35,322,0.708
r,29,262,1.221
r,27,203,0.506
r,30,199,0.533
r,34,222,0.432
r,36,246,0.542
r,36,253,0.531
r,34,251,0.683
r,30,242,0.817
r,27,237,0.511
r,28,257,0.49
r,31,290,0.545
r,33,287,0.569
r,34,285,0.555
r,32,265,7.42
r,26,224,0.646
r,20,188,1.128
r,17,168,0.538
r,15,147,0.365
r,14,140,0.293
r,15,145,0.322
r,16,145,0.888
r,15,135,0.282
r,13,115,0.255
r,11,103,0.506
r,8,90,0.903
r,5,73,0.159
r,5,57,0.112
r,7,58,0.104
r,8,53,0.112
iv,1.0013580322265625e-05,249054404608
iv,6.67572021484375e-06,249054404608
iv,3.814697265625e-06,249054404608
iv,3.814697265625e-06,249054404608
iv,3.814697265625e-06,249054404608
iv,4.5299530029296875e-06,249054404608
iv,4.76837158203125e-06,249054404608
iv,5.0067901611328125e-06,249054404608
iv,5.245208740234375e-06,249054404608
iv,5.7220458984375e-06,249054404608
iv,5.7220458984375e-06,249054404608
iv,7.152557373046875e-06,249054404608
iv,7.152557373046875e-06,249054404608
iv,7.62939453125e-06,249054404608
iv,7.62939453125e-06,249054404608
iv,7.867813110351562e-06,249054404608
iv,8.106231689453125e-06,249054404608
iv,8.344650268554688e-06,249054404608
iv,9.5367431640625e-06,249054404608
iv,9.298324584960938e-06,249054404608
iv,9.298324584960938e-06,249054404608
iv,1.0967254638671875e-05,249054404608
iv,1.1444091796875e-05,249054404608
iv,1.1444091796875e-05,249054404608
iv,1.621246337890625e-05,249054404608
iv,1.239776611328125e-05,249054404608
iv,1.239776611328125e-05,249054404608
iv,1.2874603271484375e-05,249054404608
iv,1.33514404296875e-05,249054404608
iv,1.3113021850585938e-05,249054404608
iv,1.33514404296875e-05,249054404608
iv,1.3589859008789062e-05,249054404608
iv,1.4066696166992188e-05,249054404608
iv,1.4543533325195312e-05,249054404608
iv,1.4543533325195312e-05,249054404608
iv,1.4781951904296875e-05,249054404608
iv,1.52587890625e-05,249054404608
iv,1.5735626220703125e-05,249054404608
iv,1.5735626220703125e-05,249054404608
