step,size,zdd,time
0,IS,3.019733190536499,2022benchmark-main/benchmark/power/hc-power-004-002.col,2022benchmark-main/benchmark/power/hc-power-004-002_01.dat
1,5,72,0.141
2,10,112,0.353
3,12,151,0.521
4,13,169,0.493
5,14,188,0.903
6,12,187,0.553
7,8,126,0.643
8,5,79,0.331
9,4,63,0.268
10,4,49,0.202
11,4,46,0.582
12,4,57,0.173
13,5,100,3.117
14,7,130,0.398
15,10,163,0.526
16,18,228,0.893
17,30,318,0.858
18,38,407,1.177
19,37,422,1.931
20,28,343,1.433
21,16,209,1.115
22,7,108,0.761
23,3,55,0.225
24,2,45,0.127
25,2,29,0.142
26,2,41,0.117
27,3,68,0.183
28,4,87,0.222
29,5,89,0.27
30,8,102,0.309
31,11,129,0.378
32,13,174,0.496
33,13,193,0.569
34,10,161,0.607
35,6,107,0.483
36,3,69,0.291
37,2,36,0.173
38,2,33,0.113
39,2,32,0.092
40,2,40,0.094
41,3,70,0.122
42,4,82,0.21
43,6,97,0.238
44,12,168,0.335
45,21,268,0.578
46,36,397,0.901
47,60,594,1.447
48,84,823,2.146
49,94,939,3.162
50,85,888,3.62
51,62,729,6.518
52,38,520,3.406
53,22,322,1.427
54,15,218,0.756
55,14,202,0.556
56,17,252,0.617
57,22,320,0.871
58,29,387,1.032
59,37,442,1.355
60,40,463,1.708
61,37,447,1.832
62,29,370,1.674
63,19,260,1.279
64,12,180,1.027
65,7,132,0.564
66,4,87,0.52
67,2,49,0.287
68,1,26,0.144
69,1,26,0.084
70,1,26,0.077
71,1,26,0.061
72,1,26,0.081
73,2,48,0.103
74,2,48,0.162
75,4,75,0.172
76,8,119,0.695
77,12,162,0.461
78,18,255,0.73
79,25,349,1.681
80,30,402,2.372
81,32,402,2.207
82,30,365,2.577
83,23,301,1.629
84,15,237,1.464
85,9,153,1.109
86,6,117,0.563
87,6,126,0.397
88,7,142,0.451
89,9,170,0.523
90,12,208,0.641
91,14,220,0.813
92,14,196,0.812
93,13,176,0.72
94,11,152,0.652
95,9,132,0.547
96,8,118,0.483
97,6,108,0.451
98,4,85,0.362
99,2,49,0.312
100,1,26,0.15
101,1,26,0.094
102,1,26,0.076
103,1,26,0.065
104,1,26,0.084
105,2,48,0.099
106,2,48,0.169
107,4,71,0.571
108,8,124,0.287
109,13,205,0.472
110,23,324,0.976
111,40,471,1.385
112,66,675,3.37
113,110,937,3.363
114,174,1275,4.14
115,241,1644,5.615
116,285,1967,8.307
117,285,2122,11.059
118,239,2025,10.665
119,170,1728,13.955
120,110,1344,6.674
121,75,964,4.341
122,66,830,2.993
123,73,850,3.217
124,86,942,3.403
125,103,1047,3.645
126,121,1106,4.114
127,133,1088,5.378
128,135,1087,4.627
129,125,1082,5.554
130,102,974,5.385
131,74,778,4.449
132,49,590,3.087
133,29,431,2.212
134,17,304,1.511
135,11,220,0.966
136,9,162,0.623
137,10,173,0.507
138,12,200,0.585
139,16,242,0.836
140,26,329,0.982
141,44,438,1.327
142,69,590,8.618
143,102,842,2.515
144,131,1082,3.507
145,143,1214,4.881
146,137,1268,5.758
147,116,1221,15.898
148,89,1081,4.961
149,67,922,3.79
150,52,739,2.998
151,41,600,2.229
152,35,545,2.047
153,34,515,1.828
154,39,542,1.754
155,48,603,2.97
156,54,625,4.693
157,55,600,2.328
158,50,583,5.037
159,39,508,2.15
160,27,379,1.82
161,18,252,1.467
162,12,174,0.927
163,9,142,0.633
164,8,124,0.506
165,6,113,0.443
166,4,89,0.399
167,2,49,0.27
168,1,26,0.138
169,1,26,0.086
170,1,26,0.068
171,1,26,0.068
172,1,26,0.081
173,2,49,0.123
174,2,49,0.16
175,4,75,0.165
176,8,134,0.26
177,13,226,0.46
178,23,368,3.599
179,39,524,1.328
180,59,710,1.945
181,85,944,4.425
182,116,1226,3.72
183,143,1528,4.718
184,157,1734,6.609
185,151,1722,15.134
186,125,1502,8.653
187,90,1203,5.811
188,61,889,4.091
189,45,668,2.665
190,43,639,2.052
191,49,696,2.15
192,56,763,3.287
193,64,836,2.838
194,71,880,3.149
195,74,893,3.447
196,73,910,3.769
197,66,857,3.763
